,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,A_pga,A_pgv,dM,A_site
246,QW,QCS09,45.45,-72.53,0.0,0.0,,,,,,0.0
247,QW,QCS10,45.04,-73.08,11.46,7.94,,,,,,0.0
248,QW,QCS11,45.06,-72.84,16.21,5.89,,,,,,0.0
249,QW,QCS12,45.05,-72.39,0.0,0.0,,,,,,0.0
250,QW,QCS13,45.01,-72.1,0.0,0.0,,,,,,0.0
251,QW,QCS15,45.3,-71.2,0.0,0.0,,,,,,0.0
252,QW,QCS16,45.57,-70.83,0.0,0.0,,,,,,0.0
253,QW,QCS17,45.85,-70.63,2.21,4.47,,,,,,4.7662
254,QW,QCS19,46.41,-70.35,0.0,0.0,,,,,,0.0
255,QW,QCS21,46.96,-69.79,0.0,0.0,,,,,,0.0
256,QW,QCS23,47.55,-68.65,3.41,5.96,,,,,,3.8302
257,QW,QCS26,47.56,-71.23,5.26,3.76,,,,,,2.3872
258,QW,QCW27,47.2,-79.37,6.82,4.22,,,,,,1.1703999999999999
259,QW,QCW28,47.04,-79.27,0.0,0.0,,,,,,0.0
260,QW,QCW42,46.79,-79.06,0.0,0.0,,,,,,0.0
261,QX,OTO01,45.42,-75.73,0.0,0.0,,,,,,0.0
262,QX,OTO02,45.37,-75.79,0.0,0.0,,,,,,0.0
263,QX,OTO04,45.44,-75.68,0.0,0.0,,,,,,0.0
264,QX,OTO05,45.27,-75.71,4.42,11.22,,,,,,3.0424
265,QX,OTO08,45.41,-75.69,1.86,15.85,,,,,,5.0392
266,QX,OTO09,45.38,-75.74,8.11,13.34,,,,,,0.16420000000000012
267,QX,OTO10,45.38,-75.63,3.72,8.41,,,,,,3.5884
268,QX,OTO11,45.42,-75.69,2.87,5.96,,,,,,4.2514
269,QX,OTO12,45.34,-75.76,2.87,7.08,,,,,,4.2514
270,QX,OTO17,45.38,-75.59,4.42,7.08,,,,,,3.0424
271,WU,ACTO,43.61,-80.06,11.46,4.47,0.0,0.0,2.53183,2.17109,0.2068705035971222,0.0
272,WU,ALFO,45.63,-74.88,0.0,0.0,0.0,0.0,1.1987,1.09445,-0.1047222222222222,0.0
273,WU,BANO,45.02,-77.93,12.5,5.31,0.0,0.0,3.10643,2.59389,0.4275303643724696,0.0
274,WU,BASO,44.01,-81.66,0.0,0.0,0.0,0.0,1.28214,1.41929,0.1210619469026548,0.0
275,WU,BMRO,44.6,-81.22,0.0,0.0,0.0,0.0,1.11306,1.48647,0.0157462686567163,0.0
276,WU,BRCO,44.24,-81.44,1.86,18.84,2.0,13.11,5.23794,4.56088,0.4071165644171778,5.0392
277,WU,BUKO,45.44,-79.4,0.0,0.0,0.0,0.0,1.7774,1.5278,0.0522429906542055,0.0
278,WU,BWLO,44.12,-81.14,0.0,0.0,0.31,4.77,1.76831,1.64178,0.0846341463414633,0.0
279,WU,CLWO,44.45,-80.3,14.86,5.96,2.38,6.49,3.54112,2.8477,0.148774193548387,0.0
280,WU,DELO,44.52,-77.62,0.0,0.0,0.0,0.0,1.67816,1.54365,0.0596533333333333,0.0
281,WU,DRCO,43.88,-78.7,9.64,10.0,,,,,0.2572727272727271,-1.0292000000000003
282,WU,DRWO,43.87,-78.73,4.05,7.08,4.17,8.66,2.49353,2.00311,0.4266666666666665,3.3310000000000004
283,WU,ELFO,43.19,-81.32,2.87,9.44,2.94,9.72,3.30527,2.53309,0.246779661016949,4.2514
